Company Name,Year_t,from_label,to_label
A D M Joinflex India Pvt. Ltd.,2022,Healthy,Healthy
A D S Diagnostic Ltd.,2018,Healthy,Cash_Distress
A D S Diagnostic Ltd.,2021,Healthy,Healthy
A D S Diagnostic Ltd.,2022,Healthy,Healthy
A E S (India) Engg. Ltd.,2019,Acct_Distress,Cash_Distress
A E T Laboratories Pvt. Ltd.,2019,Healthy,Healthy
A E T Laboratories Pvt. Ltd.,2020,Healthy,Healthy
A E Tollway Ltd.,2020,Acct_Distress,Acct_Distress
A E Tollway Ltd.,2021,Acct_Distress,Acct_Distress
A E Tollway Ltd.,2022,Acct_Distress,Full_Distress
A F Enterprises Ltd.,2019,Acct_Distress,Cash_Distress
A F Enterprises Ltd.,2020,Cash_Distress,Cash_Distress
A F Enterprises Ltd.,2021,Cash_Distress,Full_Distress
A F Enterprises Ltd.,2022,Full_Distress,Full_Distress
A F L Pvt. Ltd.,2018,Healthy,Full_Distress
A F L Pvt. Ltd.,2019,Full_Distress,Acct_Distress
A F L Pvt. Ltd.,2022,Cash_Distress,Full_Distress
A G Fats Pvt. Ltd.,2019,Healthy,Cash_Distress
A G I Greenpac Ltd.,2018,Healthy,Healthy
A G I Greenpac Ltd.,2019,Healthy,Healthy
A G I Greenpac Ltd.,2020,Healthy,Healthy
A G I Greenpac Ltd.,2021,Healthy,Healthy
A G I Greenpac Ltd.,2022,Healthy,Healthy
A G I Infra Ltd.,2018,Healthy,Healthy
A G I Infra Ltd.,2019,Healthy,Healthy
A G I Infra Ltd.,2020,Healthy,Healthy
A G I Infra Ltd.,2021,Healthy,Healthy
A G I Infra Ltd.,2022,Healthy,Healthy
A G Industries (Bawal) Pvt. Ltd.,2018,Healthy,Healthy
A G Industries (Bawal) Pvt. Ltd.,2019,Healthy,Healthy
A G Industries (Bawal) Pvt. Ltd.,2020,Healthy,Cash_Distress
A G Industries (Bawal) Pvt. Ltd.,2021,Cash_Distress,Healthy
A G Industries (Bawal) Pvt. Ltd.,2022,Healthy,Healthy
A G Industries Pvt. Ltd.,2020,Healthy,Cash_Distress
A G Industries Pvt. Ltd.,2021,Cash_Distress,Healthy
A G Industries Pvt. Ltd.,2022,Healthy,Healthy
A G L Polyfil Pvt. Ltd.,2022,Full_Distress,Full_Distress
A G S Health Pvt. Ltd.,2018,Healthy,Healthy
A G S Health Pvt. Ltd.,2019,Healthy,Healthy
A G S Transact Technologies Ltd.,2018,Healthy,Healthy
A G S Transact Technologies Ltd.,2019,Healthy,Healthy
A G S Transact Technologies Ltd.,2020,Healthy,Acct_Distress
A G S Transact Technologies Ltd.,2021,Acct_Distress,Acct_Distress
A G S Transact Technologies Ltd.,2022,Acct_Distress,Acct_Distress
A G Universal Ltd.,2020,Healthy,Healthy
A G Universal Ltd.,2021,Healthy,Cash_Distress
A G Universal Ltd.,2022,Cash_Distress,Cash_Distress
A G Ventures Ltd.,2018,Healthy,Healthy
A G Ventures Ltd.,2019,Healthy,Healthy
A G Ventures Ltd.,2020,Healthy,Healthy
A G Ventures Ltd.,2021,Healthy,Healthy
A G Ventures Ltd.,2022,Healthy,Healthy
A H W Steels Pvt. Ltd.,2018,Healthy,Acct_Distress
A H W Steels Pvt. Ltd.,2019,Acct_Distress,Acct_Distress
A H W Steels Pvt. Ltd.,2020,Acct_Distress,Healthy
A I A Engineering Ltd.,2018,Healthy,Healthy
A I A Engineering Ltd.,2019,Healthy,Healthy
A I A Engineering Ltd.,2020,Healthy,Healthy
A I A Engineering Ltd.,2021,Healthy,Healthy
A I A Engineering Ltd.,2022,Healthy,Healthy
A I Airport Services Ltd.,2020,Acct_Distress,Healthy
A I Airport Services Ltd.,2021,Healthy,Healthy
A I Airport Services Ltd.,2022,Healthy,Healthy
A I Champdany Inds. Ltd.,2019,Healthy,Full_Distress
A I Champdany Inds. Ltd.,2020,Full_Distress,Full_Distress
A I Champdany Inds. Ltd.,2021,Full_Distress,Full_Distress
A I Champdany Inds. Ltd.,2022,Full_Distress,Full_Distress
A I Engineering Services Ltd.,2021,Healthy,Cash_Distress
A I Engineering Services Ltd.,2022,Cash_Distress,Healthy
A I K Pipes & Polymers Ltd.,2022,Healthy,Cash_Distress
A I P L Housing & Urban Infrastructure Ltd.,2018,Acct_Distress,Acct_Distress
A I P L Housing & Urban Infrastructure Ltd.,2019,Acct_Distress,Healthy
A J C Jewel Mfrs. Ltd.,2021,Healthy,Healthy
A J C Jewel Mfrs. Ltd.,2022,Healthy,Healthy
A J Enterprises Ltd.,2020,Healthy,Acct_Distress
A K C Steel Inds. Ltd.,2018,Healthy,Healthy
A K C Steel Inds. Ltd.,2019,Healthy,Healthy
A K C Steel Inds. Ltd.,2020,Healthy,Healthy
A K Das Associates Ltd.,2020,Healthy,Healthy
A K Das Associates Ltd.,2021,Healthy,Healthy
A K Das Associates Ltd.,2022,Healthy,Healthy
A K Lumbers Ltd.,2018,Healthy,Healthy
A K Lumbers Ltd.,2019,Healthy,Healthy
A K Lumbers Ltd.,2020,Healthy,Healthy
A K Lumbers Ltd.,2021,Healthy,Full_Distress
A K S Bearings Ltd.,2018,Healthy,Healthy
A K S Bearings Ltd.,2021,Healthy,Healthy
A K S Electricals & Electronics Ltd.,2018,Healthy,Cash_Distress
A K S Electricals & Electronics Ltd.,2019,Cash_Distress,Cash_Distress
A L A Chemicals Pvt. Ltd.,2018,Healthy,Healthy
A L A Chemicals Pvt. Ltd.,2021,Healthy,Cash_Distress
A L A Chemicals Pvt. Ltd.,2022,Cash_Distress,Healthy
A L Ammar Frozen Foods Exports Pvt. Ltd.,2019,Healthy,Healthy
A L D Automotive Pvt. Ltd.,2018,Healthy,Healthy
A L D Automotive Pvt. Ltd.,2019,Healthy,Healthy
A L D Automotive Pvt. Ltd.,2020,Healthy,Healthy
A L D Automotive Pvt. Ltd.,2021,Healthy,Healthy
A L D Automotive Pvt. Ltd.,2022,Healthy,Healthy
A L F Engineering Pvt. Ltd.,2018,Healthy,Healthy
A L F Engineering Pvt. Ltd.,2019,Healthy,Healthy
A L F Engineering Pvt. Ltd.,2020,Healthy,Healthy
A L M Food Products Ltd.,2018,Healthy,Cash_Distress
A L M Food Products Ltd.,2019,Cash_Distress,Healthy
A L M Food Products Ltd.,2020,Healthy,Healthy
A L M Food Products Ltd.,2021,Healthy,Healthy
A L M Industries Ltd.,2019,Healthy,Healthy
A L M Industries Ltd.,2020,Healthy,Healthy
A L M Industries Ltd.,2021,Healthy,Healthy
A L M Infotech City Pvt. Ltd.,2021,Healthy,Acct_Distress
A L M Infotech City Pvt. Ltd.,2022,Acct_Distress,Acct_Distress
A L P Aeroflex India Pvt. Ltd.,2019,Healthy,Healthy
A L P Aeroflex India Pvt. Ltd.,2020,Healthy,Healthy
A L P Aeroflex India Pvt. Ltd.,2021,Healthy,Healthy
A L P Aeroflex India Pvt. Ltd.,2022,Healthy,Healthy
A L P Nishikawa Co. Pvt. Ltd.,2020,Healthy,Healthy
A L P Nishikawa Co. Pvt. Ltd.,2021,Healthy,Healthy
A L P Nishikawa Co. Pvt. Ltd.,2022,Healthy,Healthy
A L S Testing Services India Pvt. Ltd.,2019,Full_Distress,Full_Distress
A L S Testing Services India Pvt. Ltd.,2020,Full_Distress,Full_Distress
A L S Testing Services India Pvt. Ltd.,2021,Full_Distress,Acct_Distress
A L S Testing Services India Pvt. Ltd.,2022,Acct_Distress,Healthy
A L T R (India) Pvt. Ltd.,2020,Healthy,Healthy
A M C L Machinery Ltd.,2018,Full_Distress,Acct_Distress
A M C L Machinery Ltd.,2019,Acct_Distress,Acct_Distress
A M C L Machinery Ltd.,2020,Acct_Distress,Acct_Distress
A M C L Machinery Ltd.,2021,Acct_Distress,Acct_Distress
A M D D Foods Pvt. Ltd.,2021,Cash_Distress,Cash_Distress
A M D D Foods Pvt. Ltd.,2022,Cash_Distress,Healthy
A M D Estates & Developers Pvt. Ltd.,2020,Healthy,Healthy
A M D Estates & Developers Pvt. Ltd.,2021,Healthy,Acct_Distress
A M D Industries Ltd.,2018,Healthy,Healthy
A M D Industries Ltd.,2019,Healthy,Healthy
A M D Industries Ltd.,2020,Healthy,Cash_Distress
A M D Industries Ltd.,2021,Cash_Distress,Healthy
A M D Industries Ltd.,2022,Healthy,Healthy
A M I C Forging Ltd.,2021,Healthy,Healthy
A M I C Forging Ltd.,2022,Healthy,Cash_Distress
A M J Land Holdings Ltd.,2018,Healthy,Cash_Distress
A M J Land Holdings Ltd.,2022,Cash_Distress,Healthy
